numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,remarks
42,Laura,Fonds Gournay - M87,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,4,Baracan,Allemagne,2715,905,Livres,3,
352,Laura,Fonds Gournay - M87,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,16,Damas ; fil et coton,Allemagne,520,130,Livres,4,
375,Laura,Fonds Gournay - M87,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,18,Drap ; d'Abbeville,Allemagne,22275,1485,Livres,15,
388,Laura,Fonds Gournay - M87,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,18,Draperie ; petite,Allemagne,8964,2988,Livres,3,
419,Laura,Fonds Gournay - M87,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,20,Etoffe ; façonnée,Allemagne,15060,2510,Livres,6,
433,Laura,Fonds Gournay - M87,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,20,Etoffe ; à peu de soye,Allemagne,72600,7260,Livres,10,
736,Laura,Fonds Gournay - M87,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,33,Moquette,Allemagne,2820,705,Livres,4,
866,Laura,Fonds Gournay - M87,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,38,Peluche,Allemagne,54420,10884,Livres,5,
999,Laura,Fonds Gournay - M87,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,44,Serge ; drapée,Allemagne,200,50,Livres,4,
1190,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,2,Amidon,Danemark,152.25,1015,Livres,.15,
1207,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,3,Bierre,Danemark,36,2.5,Muids,14.4,
1259,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,6,Eau de vie,Danemark,3523.5,16.31,Livres,216,
1282,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,7,Fer ; en pellerie,Danemark,12.5,125,Livres,.1,
1307,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,9,Houblon,Danemark,835,1670,Livres,.5,
1308,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,9,Huile ; à brûler,Danemark,7.2,36,Livres,.2,
1361,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,11,Pruneaux,Danemark,62,620,Livres,.1,
1420,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,15,Vin ; de Bordeaux,Danemark,147.4,1,Valeur,147.4,
1438,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,15,Vinaigre,Danemark,140,4,Bariques,35,
1538,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,6,Baracan,Espagne,35316,11772,Livres,3,
1551,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,6,Beure,Espagne,106.75,305,Livres,.35,
1571,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,7,Bierre,Espagne,968,88,Barils,11,
1916,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,21,Damas ; fil et coton,Espagne,39,195,Livres,.2,
1940,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,22,Drap ; d'Abbeville,Espagne,23175,1545,Livres,15,
1941,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,22,Drap ; d'Amiens,Espagne,749,107,Livres,7,
1974,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,23,Draperie ; petite,Espagne,166200,55400,Livres,3,
2033,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,25,Etamine ; de laine,Espagne,80,20,Livres,4,
2046,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,26,Etoffe ; façonnée,Espagne,31005,6201,Livres,5,
2066,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,26,Etoffe ; à peu de soye,Espagne,1011590,101159,Livres,10,
2356,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,38,Moquette,Espagne,3540,885,Livres,4,
2385,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,39,Moutons,Espagne,120,8,Pièces,15,
2493,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,43,Peluche,Espagne,891990,148665,Livres,6,
2561,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,46,Porcs,Espagne,84,3,Pièces,28,
2670,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,51,Serge ; drapée,Espagne,1580,395,Livres,4,
2846,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,58,Toiles ; d'étoupe ; de lin,Espagne,4075,2037.5,Livres,2,
2847,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,58,Toiles ; fine,Espagne,7440,620,Livres,12,
2862,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,59,Toiles ; de lin ; de Beauvais,Espagne,7800,780,Livres,10,
2866,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,59,Toiles ; de lin ; de Saint-Quentin,Espagne,42630,1522.5,Livres,28,
2930,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,61,Vin ; de Bordeaux,Espagne,210.6,3,Muids,70.2,
2931,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,61,Vin ; de Bordeaux,Espagne,8,16,Pots,.5,
3001,Laura,BNF N. Acq. 20538,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,3,Baracan,Flandres,270,90,Livres,3,
3261,Laura,BNF N. Acq. 20538,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,14,Crin,Flandres,5.5,11,Livres,.5,
3289,Laura,BNF N. Acq. 20538,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,15,Drap ; d'Abbeville,Flandres,7350,490,Livres,15,
3291,Laura,BNF N. Acq. 20538,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,15,Drap ; d'Amiens,Flandres,6160,880,Livres,7,
3312,Laura,BNF N. Acq. 20538,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,16,Draperie ; petite,Flandres,35673,11891,Livres,3,
3360,Laura,BNF N. Acq. 20538,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,18,Etoffe ; d'Amiens ; façonnée,Flandres,55725,11145,Livres,5,
3376,Laura,BNF N. Acq. 20538,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,19,Etoffe ; à peu de soye,Flandres,211680,21168,Livres,10,
3716,Laura,BNF N. Acq. 20538,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,33,Peluche,Flandres,86005,17201,Livres,5,
3815,Laura,BNF N. Acq. 20538,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,37,Rognures ; de peaux,Flandres,10,100,Livres,.1,
3861,Laura,BNF N. Acq. 20538,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,39,Serge ; drapée,Flandres,2560,640,Livres,4,
3865,Laura,BNF N. Acq. 20538,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,39,Siamoise,Flandres,2850,475,Livres,6,
3922,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,2,Baracan,Portugal,6375,2125,Livres,3,
4016,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,7,Draperie ; petite,Portugal,13590,4530,Livres,3,
4036,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,8,Etoffe ; façonnée,Portugal,450,90,Livres,5,
4044,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,8,Etoffe ; à peu de soye,Portugal,110200,11020,Livres,10,
4107,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,12,Moquette,Portugal,880,220,Livres,4,
4135,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,13,Peluche,Portugal,26750,5350,Livres,5,
4226,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,18,Vin ; de Bordeaux,Portugal,912.6,13,Muids,70.2,
4227,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,18,Vin ; de Bordeaux,Portugal,3,6,Pots,.5,
4588,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,3,Baracan,Suisse,7470,2490,Livres,3,
4750,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,11,Drap ; d'Abbeville,Suisse,3525,235,Livres,15,
4757,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,11,Draperie ; petite,Suisse,10992,3664,Livres,3,
4797,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,13,Etoffe ; façonnée,Suisse,390,65,Livres,6,
4804,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,13,Etoffe ; à peu de soye,Suisse,153600,15360,Livres,10,
5082,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Exports,Amiens,25,Peluche,Suisse,15850,3170,Livres,5,
1175,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Imports,Amiens,2,Acier,Danemark,345.6,1152,Livres,.3,
1181,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Imports,Amiens,2,Ancres ; de fer,Danemark,480,1600,Livres,.3,
1185,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Imports,Amiens,2,Avirons,Danemark,987,564,Pièces,1.75,
1196,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Imports,Amiens,3,Bois ; à brûler,Danemark,96,4,Chartées,24,
1200,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Imports,Amiens,3,Bray,Danemark,51,3,Barils,17,
1213,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Imports,Amiens,4,Canons ; de fer,Danemark,249,1660,Livres,.15,
1267,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Imports,Amiens,7,Fer ; en barres,Danemark,11743.75,93950,Livres,.13,%
1288,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Imports,Amiens,8,Gaudron,Danemark,1107,61.5,Livres,18,
1315,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Imports,Amiens,10,Manches ; de pioche,Danemark,23.7,237,Pièces,.1,
1319,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Imports,Amiens,10,Marchandises ; meslées,Danemark,5600,1,Valeur,5600,
1339,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Imports,Amiens,11,Planches ; de sapin,Danemark,139300,111440,Livres,1.25,
1340,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Imports,Amiens,11,Planches ; de sapin,Danemark,306,612,Pièces,.5,
1365,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Imports,Amiens,12,Ramures ; de sapin,Danemark,3087.5,2462,Pièces,1.25,Erreur de copie.
1369,Laura,BNF N. Acq. 20541,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Imports,Amiens,12,Sapins ; à faire ; echelle,Danemark,1378,2756,Livres,.5,
1456,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Imports,Amiens,2,Amandes ; en coques,Espagne,24,120,Livres,.2,
1567,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Imports,Amiens,7,Bois ; de Sainte-Marthe,Espagne,86,430,Livres,.2,
1607,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Imports,Amiens,9,Bouteilles ; de verre,Espagne,18.35,73.5,Livres,.25,arrondi
2103,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Imports,Amiens,28,Figues,Espagne,414.95,4147.5,Livres,.1,arrondi
2239,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Imports,Amiens,33,Jus ; de reglisse,Espagne,2715,4525,Livres,.6,
2321,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Imports,Amiens,37,Marons,Espagne,30.6,175,Livres,.175,arrondi
2346,Laura,Fonds Gournay – M85,National par direction/BNF&StBrieuc/1749 (-).csv,National par direction,1749,Imports,Amiens,38,Morüe,Espagne,81.25,325,Livres,.25,
