line_number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
23,National partenaires manquants,1787,,,Colonies,Imports,Bois d'acajou,,,131974,,,,,sources/National partenaires manquants/ANOM_Col_F2_B_14_partner_Colonies_Imports_1787.csv,ANOM Col F2 B 14 (tableau 13bis),2,,,,,Paul Chagnaud,,,,,,,,,,,,
24,National partenaires manquants,1787,,,Colonies,Imports,Bois de campeche,,,295355,,2199344,livres,,sources/National partenaires manquants/ANOM_Col_F2_B_14_partner_Colonies_Imports_1787.csv,ANOM Col F2 B 14 (tableau 13bis),2,,,,,Paul Chagnaud,,,,,,,,,,,,
25,National partenaires manquants,1787,,,Colonies,Imports,Bois de gayac,,,65470,,491151,livres,,sources/National partenaires manquants/ANOM_Col_F2_B_14_partner_Colonies_Imports_1787.csv,ANOM Col F2 B 14 (tableau 13bis),2,,,,,Paul Chagnaud,,,,,,,,,,,,
26,National partenaires manquants,1787,,,Colonies,Imports,Bois de Sainte Marthe,,,200234,,435155,livres,,sources/National partenaires manquants/ANOM_Col_F2_B_14_partner_Colonies_Imports_1787.csv,ANOM Col F2 B 14 (tableau 13bis),2,,,,,Paul Chagnaud,,,,,,,,,,,,
27,National partenaires manquants,1787,,,Colonies,Imports,Bois d'Inde divers,,,88132,,,,,sources/National partenaires manquants/ANOM_Col_F2_B_14_partner_Colonies_Imports_1787.csv,ANOM Col F2 B 14 (tableau 13bis),2,,,,,Paul Chagnaud,,,,,,,,,,,,
28,National partenaires manquants,1787,,,Colonies,Imports,Cacao,,,955467,,1781874,livres,,sources/National partenaires manquants/ANOM_Col_F2_B_14_partner_Colonies_Imports_1787.csv,ANOM Col F2 B 14 (tableau 13bis),2,,,,,Paul Chagnaud,,,,,,,,,,,,
29,National partenaires manquants,1787,,,Colonies,Imports,Caffé,,,73159154,,76566807,livres,,sources/National partenaires manquants/ANOM_Col_F2_B_14_partner_Colonies_Imports_1787.csv,ANOM Col F2 B 14 (tableau 13bis),2,,,,,Paul Chagnaud,,,,,,,,,,,,
30,National partenaires manquants,1787,,,Colonies,Imports,Canefice ou casse,,,209631,,255042,livres,,sources/National partenaires manquants/ANOM_Col_F2_B_14_partner_Colonies_Imports_1787.csv,ANOM Col F2 B 14 (tableau 13bis),2,,,,,Paul Chagnaud,,,,,,,,,,,,
31,National partenaires manquants,1787,,,Colonies,Imports,Confitures,,,60153,,42191,livres,,sources/National partenaires manquants/ANOM_Col_F2_B_14_partner_Colonies_Imports_1787.csv,ANOM Col F2 B 14 (tableau 13bis),2,,,,,Paul Chagnaud,,,,,,,,,,,,
32,National partenaires manquants,1787,,,Colonies,Imports,Coton en laine,,,26240730,,9285534,livres,,sources/National partenaires manquants/ANOM_Col_F2_B_14_partner_Colonies_Imports_1787.csv,ANOM Col F2 B 14 (tableau 13bis),2,,,,,Paul Chagnaud,,,,,,,,,,,,
