source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_unit,filepath,source,sheet,line_number,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,difference_value_unit_price,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
National partenaires manquants,1752,,,Angleterre,Exports,Amandes ; cassées,,,3273,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",96,34,327514,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Amidon,,,362,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",97,51,50837,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Anchois,,,121,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",97,62,6067,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Arbres ; à planter,,,28,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",98,78,1976,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Argenterie,,,30894,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",98,95,192364,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Armes ; à feu,,,150,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",99,104,150,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Bas ; de Soye,,,15765,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",101,171,3492571,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Bazannes ; tannées,,,222,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",102,191,11796,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Bazin,,,1538,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",102,199,111031,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Beurre,,,5245,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",103,215,305731,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Bierre,,,205,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",103,227,2281,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Bois ; de brezil,,,308,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",104,254,524059,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Bois ; de gayac,,,316,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",105,279,524059,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Bois ; merrain ; à tonneaux,,,200,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",106,288,524059,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Bois ; ouvré,,,89,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",106,292,524059,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Bouchons ; de liege,,,1580,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",107,325,16479,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Bougie,,,618,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",107,333,36627,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Bourses ; à cheveux,,,108,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",108,354,942,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Bouteilles ; de verre,,,123,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",108,361,29799,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Boutons ; d'or,,,312,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",109,381,114668,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Bray ; gras,,,525,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",110,397,147166,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Bray ; Sec,,,750,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",110,400,147166,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Caffé ; des Isles,,,23242,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",111,438,15838949,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Caffé ; de Moka,,,16803,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",111,450,15838949,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Capres,,,16,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",113,500,68991,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Carreaux ; de terre,,,4831,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",114,525,9725,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Cartes ; à jouer,,,720,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",114,530,17652,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Cercles ; de bois,,,160,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",115,552,1541,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Chaises ; de paille,,,1034,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",116,567,12512,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Angleterre,Exports,Chandelle,,,3360,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Angleterre_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",116,572,40690,,,,Annick Davis,,,,,,,,,,,
