source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_unit,filepath,source,sheet,line_number,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,difference_value_unit_price,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
National partenaires manquants,1752,,,Suède,Exports,Amandes ; cassées,,,150,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",96,44,327514,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Exports,Anchois,,,1043,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",97,68,6067,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Exports,Bas ; de Soye,,,250,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",101,182,3492571,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Exports,Beurre,,,200,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",103,224,305731,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Exports,Bleu ; de Prusse,,,66,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",104,248,306,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Exports,Bourses ; à cheveux,,,80,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",108,359,942,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Exports,Cacao,,,222,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",111,429,1980671,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Exports,Caffé ; des Isles,,,36123,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",111,448,15838949,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Exports,Capres,,,83,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",113,509,68991,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Exports,Chair ; Salée,,,36,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",115,561,210,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Exports,Chataignes,,,36,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",118,664,8893,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Exports,Cheveux,,,44,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",119,690,68314,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Exports,Chocolat,,,90,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",119,702,5962,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Exports,Citrons,,,1106,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",120,741,10313,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Exports,Confitures,,,578,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Exports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",122,784,121608,,,,Annick Davis,,,,,,,,,,,
