line_number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
4263,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,La Martinique,Exports,Beurre,Étranger,,8172,0,9615,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,,,,Cyril Mouton,,,,,,,,,,,,
4264,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,St Domingue,Exports,Bois divers,,,731,0,,,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,,,,Cyril Mouton,,Pas de quantité indiquée,,,,,,,,,,
4265,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,St Domingue,Exports,Bois de pin en planches,Guyenne,,630,0,1800,en nombre,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,,,,Cyril Mouton,,,,,,,,,,,,
4266,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,St Domingue,Exports,Bois d'ozier,Béarn,,888,0,3562,paquets,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,,,,Cyril Mouton,,,,,,,,,,,,
4267,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,St Domingue,Exports,Bray gras,Guyenne,,1648,0,206,barils,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,3408,,,Cyril Mouton,,,,,,,,,,,,
4268,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,La Martinique,Exports,Bray gras,Guyenne,,1760,0,220,barils,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,3408,,,Cyril Mouton,,,,,,,,,,,,
4269,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,St Domingue,Exports,Bray sec,Guyenne,,2907,0,64600,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,4707,,,Cyril Mouton,,,,,,,,,,,,
4270,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,La Martinique,Exports,Bray sec,Guyenne,,1800,0,40000,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,4707,,,Cyril Mouton,,,,,,,,,,,,
4271,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,St Domingue,Exports,Bray goudron,Guyenne,,316,0,74,barils,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,496,,,Cyril Mouton,,,,,,,,,,,,
4272,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,La Martinique,Exports,Bray goudron,Guyenne,,180,0,20,barils,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,496,,,Cyril Mouton,,,,,,,,,,,,
4273,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,St Domingue,Exports,Chair salée bœuf,Pays des Basques,,6510,0,18640,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,8610,,,Cyril Mouton,,,,,,,,,,,,
4274,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,La Martinique,Exports,Chair salée bœuf,Pays des Basques,,2100,0,6000,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,8610,,,Cyril Mouton,,,,,,,,,,,,
4275,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,La Martinique,Exports,Chair salée bœuf,Étranger,,6366,0,18190,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,,,,Cyril Mouton,,,,,,,,,,,,
4276,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,St Domingue,Exports,Chair salée jambon,Béarn,,27946,0,42994,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,47513,,,Cyril Mouton,,,,,,,,,,,,
4277,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,La Martinique,Exports,Chair salée jambon,Béarn,,19567,0,30104,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,47513,,,Cyril Mouton,,,,,,,,,,,,
4278,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,La Martinique,Exports,Chair salée lard salé,Bretagne,,4860,0,8100,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,,,,Cyril Mouton,,,,,,,,,,,,
4279,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,St Domingue,Exports,Chair salée salé,Béarn,,399,0,758,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,649,,,Cyril Mouton,,,,,,,,,,,,
4280,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,St Domingue,Exports,Chair salée salé,Béarn,,250,0,500,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,649,,,Cyril Mouton,,,,,,,,,,,,
4281,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,La Martinique,Exports,Chair salée salé,Guyenne,,3828,0,7657,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,,,,Cyril Mouton,,,,,,,,,,,,
4282,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,St Domingue,Exports,Chair salée cuisse d'oye,Béarn,,4014,0,4014,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,4914,,,Cyril Mouton,,,,,,,,,,,,
4283,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,St Domingue,Exports,Chair salée cuisse d'oye,Béarn,,900,0,900,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,4914,,,Cyril Mouton,,,,,,,,,,,,
4284,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,St Domingue,Exports,Causse en corde,Pays des Basques,,781,0,1302,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,,,,Cyril Mouton,,,,,,,,,,,,
4285,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,La Martinique,Exports,Chapeaux poil et laine,Pays des Basques,,,1,8,douzaines,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,,,,Cyril Mouton,,,,,,,,,,,,
4286,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,La Martinique,Exports,Chapeaux poil et laine,Pays des Basques,,600,2,100,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,,,,Cyril Mouton,,,,,,,,,,,,
4287,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,St Domingue,Exports,Cordage,Pays des Basques,,18220,0,45550,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,44444,,,Cyril Mouton,,,,,,,,,,,,
4288,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,La Martinique,Exports,Cordage,Pays des Basques,,26224,0,65561,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,44444,,,Cyril Mouton,,,,,,,,,,,,
4289,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,St Domingue,Exports,Drogues pour peinture et teinture brun,Étranger,,2434,0,16230,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,,,,Cyril Mouton,,,,,,,,,,,,
4290,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,La Martinique,Exports,Drogues pour peinture et teinture ceruse,Étranger,,1200,0,3000,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,,,,Cyril Mouton,,,,,,,,,,,,
4291,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,La Martinique,Exports,Drogues pour peinture et teinture ocre jaune,Étranger,,750,0,2500,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,,,,Cyril Mouton,,,,,,,,,,,,
4292,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,St Domingue,Exports,Eau de vie simple,Béarn,,12604,0,100.02778,muids,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,40425,,,Cyril Mouton,,,,,,,,,,,,
4293,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,La Martinique,Exports,Eau de vie simple,Béarn,,27821,0,220.74333,muids,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,40425,,,Cyril Mouton,,,,,,,,,,,,
4294,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,St Domingue,Exports,Eau de vie d'endaye,Pays des Basques,,,1,2.7016666,muids,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,,,,Cyril Mouton,,,,,,,,,,,,
4295,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,St Domingue,Exports,Eau de vie d'endaye,Pays des Basques,,876,2,77,bouteilles,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 22),56,,,,,Cyril Mouton,,,,,,,,,,,,
