line_number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,National toutes directions partenaires manquants,1789,Besancon,Jougne,"Suisse, les alliés et Genève",Exports,Acier,Franche comté,,21168,,58800,Livres,.36000001,sources/National toutes directions partenaires manquants/AN_F12_1666_Besancon_Exports_1789.csv,AN F12 1666,3,,,,,Laura,,,0,,,,,,,,,
2,National toutes directions partenaires manquants,1789,Besancon,Jougne,"Suisse, les alliés et Genève",Exports,Bestiaux en chevres,Franche comté,,2076,,173,Nombre,12,sources/National toutes directions partenaires manquants/AN_F12_1666_Besancon_Exports_1789.csv,AN F12 1666,3,,,,,Laura,,,0,,,,,,,,,
3,National toutes directions partenaires manquants,1789,Besancon,Jougne,"Suisse, les alliés et Genève",Exports,Bestiaux en moutons,Franche comté,,64260,,3213,Nombre,20,sources/National toutes directions partenaires manquants/AN_F12_1666_Besancon_Exports_1789.csv,AN F12 1666,3,,,,,Laura,,,0,,,,,,,,,
4,National toutes directions partenaires manquants,1789,Besancon,Jougne,"Suisse, les alliés et Genève",Exports,Bestiaux en porcs,Franche comté,,162840,,5428,Nombre,30,sources/National toutes directions partenaires manquants/AN_F12_1666_Besancon_Exports_1789.csv,AN F12 1666,3,,,,,Laura,,,0,,,,,,,,,
5,National toutes directions partenaires manquants,1789,Besancon,Jougne,"Suisse, les alliés et Genève",Exports,Bestiaux en vaches,Franche comté,,17160,,143,Nombre,120,sources/National toutes directions partenaires manquants/AN_F12_1666_Besancon_Exports_1789.csv,AN F12 1666,3,,,,,Laura,,,0,,,,,,,,,
6,National toutes directions partenaires manquants,1789,Besancon,Jougne,"Suisse, les alliés et Genève",Exports,Bestiaux en veaux,Franche comté,,150,,6,Nombre,25,sources/National toutes directions partenaires manquants/AN_F12_1666_Besancon_Exports_1789.csv,AN F12 1666,3,,,,,Laura,,,0,,,,,,,,,
7,National toutes directions partenaires manquants,1789,Besancon,Jougne,"Suisse, les alliés et Genève",Exports,Beurre,Franche comté,,210,,280,Livres,.75,sources/National toutes directions partenaires manquants/AN_F12_1666_Besancon_Exports_1789.csv,AN F12 1666,3,,,,,Laura,,,0,,,,,,,,,
8,National toutes directions partenaires manquants,1789,Besancon,Jougne,"Suisse, les alliés et Genève",Exports,Bierre,Franche comté,,1200,,25,Muids,,sources/National toutes directions partenaires manquants/AN_F12_1666_Besancon_Exports_1789.csv,AN F12 1666,3,,,,,Laura,,"Pas de prix unitaire, Muids de Paris",,,,,,,,,,
9,National toutes directions partenaires manquants,1789,Besancon,Jougne,"Suisse, les alliés et Genève",Exports,Chairs salées en lard,Franche comté,,210,,350,Livres,.60000002,sources/National toutes directions partenaires manquants/AN_F12_1666_Besancon_Exports_1789.csv,AN F12 1666,3,,,,,Laura,,,0,,,,,,,,,
10,National toutes directions partenaires manquants,1789,Besancon,Jougne,"Suisse, les alliés et Genève",Exports,Chapeaux poil et laine,Lyon,,1008,,14,Douzaines,72,sources/National toutes directions partenaires manquants/AN_F12_1666_Besancon_Exports_1789.csv,AN F12 1666,3,,,,,Laura,,,0,,,,,,,,,
11,National toutes directions partenaires manquants,1789,Besancon,Jougne,"Suisse, les alliés et Genève",Exports,Cire en bougie,Bourgogne,,825,,275,Livres,3,sources/National toutes directions partenaires manquants/AN_F12_1666_Besancon_Exports_1789.csv,AN F12 1666,3,,,,,Laura,,,0,,,,,,,,,
