line_number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
91,National toutes directions partenaires manquants,1749,Amiens,,Flandres,Imports,Charbon ; de terre,,,18,,9,Barils,2,sources/National toutes directions partenaires manquants/BNF_N._Acq._20538_partner_Flandres_Imports_1749.csv,BNF N. Acq. 20538,10,,,,,Laura Moutou,,,,,,,,,,,,
92,National toutes directions partenaires manquants,1749,Amiens,,Flandres,Imports,Cuivre ; en chaudrons,,,10970,,8776,Livres,1.25,sources/National toutes directions partenaires manquants/BNF_N._Acq._20538_partner_Flandres_Imports_1749.csv,BNF N. Acq. 20538,14,,,,,Laura Moutou,,,,,,,,,,,,
93,National toutes directions partenaires manquants,1749,Amiens,,Flandres,Imports,Fil ; de lin,,,9472.5,,6315,Livres,1.5,sources/National toutes directions partenaires manquants/BNF_N._Acq._20538_partner_Flandres_Imports_1749.csv,BNF N. Acq. 20538,20,,,,,Laura Moutou,,,,,,,,,,,,
94,National toutes directions partenaires manquants,1749,Amiens,,Flandres,Imports,Laine ; filée,,,2103.75,,935,Livres,2.25,sources/National toutes directions partenaires manquants/BNF_N._Acq._20538_partner_Flandres_Imports_1749.csv,BNF N. Acq. 20538,26,,,,,Laura Moutou,,,,,,,,,,,,
95,National toutes directions partenaires manquants,1749,Amiens,,Flandres,Imports,Pelleterie ; aprestée,,,172,,86,Livres,2,sources/National toutes directions partenaires manquants/BNF_N._Acq._20538_partner_Flandres_Imports_1749.csv,BNF N. Acq. 20538,33,,,,,Laura Moutou,,,,,,,,,,,,
96,National toutes directions partenaires manquants,1749,Amiens,,Flandres,Imports,Pelleterie ; crüe,,,48,,40,Livres,1.2,sources/National toutes directions partenaires manquants/BNF_N._Acq._20538_partner_Flandres_Imports_1749.csv,BNF N. Acq. 20538,33,,,,,Laura Moutou,,,,,,,,,,,,
97,National toutes directions partenaires manquants,1749,Amiens,,Flandres,Imports,Poisson ; de mer,,,52.5,,1.5,Somme,35,sources/National toutes directions partenaires manquants/BNF_N._Acq._20538_partner_Flandres_Imports_1749.csv,BNF N. Acq. 20538,34,,,,,Laura Moutou,,,,,,,,,,,,
98,National toutes directions partenaires manquants,1749,Amiens,,Flandres,Imports,Saumons ; frais,,,80,,4,Pièces,20,sources/National toutes directions partenaires manquants/BNF_N._Acq._20538_partner_Flandres_Imports_1749.csv,BNF N. Acq. 20538,38,,,,,Laura Moutou,,,,,,,,,,,,
882,National toutes directions partenaires manquants,1749,Charleville,,Flandres,Imports,Ardoises,,,105,,4200,Livres,.025,sources/National toutes directions partenaires manquants/BNF_N._Acq._20538_partner_Flandres_Imports_1749.csv,BNF N. Acq. 20538,3,,,,,Laura Moutou,,%%,,,,,,,,,,
883,National toutes directions partenaires manquants,1749,Charleville,,Flandres,Imports,Bois ; ouvré,,,7,,,,,sources/National toutes directions partenaires manquants/BNF_N._Acq._20538_partner_Flandres_Imports_1749.csv,BNF N. Acq. 20538,5,,,,,Laura Moutou,,,,,,,,,,,,
884,National toutes directions partenaires manquants,1749,Charleville,,Flandres,Imports,Bois ; en planches,,,125,,125,Pièces,1,sources/National toutes directions partenaires manquants/BNF_N._Acq._20538_partner_Flandres_Imports_1749.csv,BNF N. Acq. 20538,5,,,,,Laura Moutou,,,,,,,,,,,,
885,National toutes directions partenaires manquants,1749,Charleville,,Flandres,Imports,Charbon ; de terre,,,52482,,17494,Barils,3,sources/National toutes directions partenaires manquants/BNF_N._Acq._20538_partner_Flandres_Imports_1749.csv,BNF N. Acq. 20538,10,,,,,Laura Moutou,,,,,,,,,,,,
886,National toutes directions partenaires manquants,1749,Charleville,,Flandres,Imports,Chevaux,,,100,,2,Pièces,50,sources/National toutes directions partenaires manquants/BNF_N._Acq._20538_partner_Flandres_Imports_1749.csv,BNF N. Acq. 20538,11,,,,,Laura Moutou,,,,,,,,,,,,
887,National toutes directions partenaires manquants,1749,Charleville,,Flandres,Imports,Citrons,,,99,,990,Pièces,.1,sources/National toutes directions partenaires manquants/BNF_N._Acq._20538_partner_Flandres_Imports_1749.csv,BNF N. Acq. 20538,11,,,,,Laura Moutou,,,,,,,,,,,,
888,National toutes directions partenaires manquants,1749,Charleville,,Flandres,Imports,Craye,,,600,,3000,Livres,.2,sources/National toutes directions partenaires manquants/BNF_N._Acq._20538_partner_Flandres_Imports_1749.csv,BNF N. Acq. 20538,13,,,,,Laura Moutou,,,,,,,,,,,,
889,National toutes directions partenaires manquants,1749,Charleville,,Flandres,Imports,Fayance,,,6.25,,12.5,Livres,.5,sources/National toutes directions partenaires manquants/BNF_N._Acq._20538_partner_Flandres_Imports_1749.csv,BNF N. Acq. 20538,19,,,,,Laura Moutou,,,,,,,,,,,,
890,National toutes directions partenaires manquants,1749,Charleville,,Flandres,Imports,Fer ; en barres,,,5638,,70475,Livres,.079999998,sources/National toutes directions partenaires manquants/BNF_N._Acq._20538_partner_Flandres_Imports_1749.csv,BNF N. Acq. 20538,20,,,,,Laura Moutou,,,,,,,,,,,,
891,National toutes directions partenaires manquants,1749,Charleville,,Flandres,Imports,Fer ; en batterie,,,636,,3180,Livres,.2,sources/National toutes directions partenaires manquants/BNF_N._Acq._20538_partner_Flandres_Imports_1749.csv,BNF N. Acq. 20538,20,,,,,Laura Moutou,,,,,,,,,,,,
892,National toutes directions partenaires manquants,1749,Charleville,,Flandres,Imports,Fer ; ouvré,,,8.1000004,,27,Livres,.30000001,sources/National toutes directions partenaires manquants/BNF_N._Acq._20538_partner_Flandres_Imports_1749.csv,BNF N. Acq. 20538,20,,,,,Laura Moutou,,,,,,,,,,,,
893,National toutes directions partenaires manquants,1749,Charleville,,Flandres,Imports,Fer ; en verges,,,1550,,15500,Livres,.1,sources/National toutes directions partenaires manquants/BNF_N._Acq._20538_partner_Flandres_Imports_1749.csv,BNF N. Acq. 20538,20,,,,,Laura Moutou,,,,,,,,,,,,
894,National toutes directions partenaires manquants,1749,Charleville,,Flandres,Imports,Figues,,,37,,148,Livres,.25,sources/National toutes directions partenaires manquants/BNF_N._Acq._20538_partner_Flandres_Imports_1749.csv,BNF N. Acq. 20538,20,,,,,Laura Moutou,,,,,,,,,,,,
895,National toutes directions partenaires manquants,1749,Charleville,,Flandres,Imports,Fil ; de lin,,,23.75,,9.5,Livres,2.5,sources/National toutes directions partenaires manquants/BNF_N._Acq._20538_partner_Flandres_Imports_1749.csv,BNF N. Acq. 20538,20,,,,,Laura Moutou,,,,,,,,,,,,
896,National toutes directions partenaires manquants,1749,Charleville,,Flandres,Imports,Haches,,,40,,80,Pièces,.5,sources/National toutes directions partenaires manquants/BNF_N._Acq._20538_partner_Flandres_Imports_1749.csv,BNF N. Acq. 20538,24,,,,,Laura Moutou,,,,,,,,,,,,
897,National toutes directions partenaires manquants,1749,Charleville,,Flandres,Imports,Harangs ; blancs,,,80,,2,Barils,40,sources/National toutes directions partenaires manquants/BNF_N._Acq._20538_partner_Flandres_Imports_1749.csv,BNF N. Acq. 20538,24,,,,,Laura Moutou,,,,,,,,,,,,
898,National toutes directions partenaires manquants,1749,Charleville,,Flandres,Imports,Lin ; peignée,,,202,,101,Livres,2,sources/National toutes directions partenaires manquants/BNF_N._Acq._20538_partner_Flandres_Imports_1749.csv,BNF N. Acq. 20538,27,,,,,Laura Moutou,,,,,,,,,,,,
899,National toutes directions partenaires manquants,1749,Charleville,,Flandres,Imports,Linge ; vieux,,,240,,,,,sources/National toutes directions partenaires manquants/BNF_N._Acq._20538_partner_Flandres_Imports_1749.csv,BNF N. Acq. 20538,27,,,,,Laura Moutou,,,,,,,,,,,,
900,National toutes directions partenaires manquants,1749,Charleville,,Flandres,Imports,Marbre ; ouvré,,,400,,,,,sources/National toutes directions partenaires manquants/BNF_N._Acq._20538_partner_Flandres_Imports_1749.csv,BNF N. Acq. 20538,28,,,,,Laura Moutou,,,,,,,,,,,,
