line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_value,absurd_quantity,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
10,National toutes directions sans produits,1777,Amiens,,"Allemagne, Lorraine et pais de Liege",Exports,,,,609877,,,,,sources/National toutes directions sans produits/AN_F12_245_and_246_Exports_1777.csv,AN F12 245,4,,,,,Stephen Jackson,,,,,,,,,,,,,
11,National toutes directions sans produits,1777,Bourgogne,,"Allemagne, Lorraine et pais de Liege",Exports,,,,2445265,,,,,sources/National toutes directions sans produits/AN_F12_245_and_246_Exports_1777.csv,AN F12 245,4,,,,,Stephen Jackson,,,,,,,,,,,,,
12,National toutes directions sans produits,1777,Châlons,,"Allemagne, Lorraine et pais de Liege",Exports,,,,3538596,,,,,sources/National toutes directions sans produits/AN_F12_245_and_246_Exports_1777.csv,AN F12 245,4,,,,,Stephen Jackson,,,,,,,,,,,,,
13,National toutes directions sans produits,1777,Charleville,,"Allemagne, Lorraine et pais de Liege",Exports,,,,189302,,,,,sources/National toutes directions sans produits/AN_F12_245_and_246_Exports_1777.csv,AN F12 245,4,,,,,Stephen Jackson,,,,,,,,,,,,,
14,National toutes directions sans produits,1777,Flandre,,"Allemagne, Lorraine et pais de Liege",Exports,,,,327670,,,,,sources/National toutes directions sans produits/AN_F12_245_and_246_Exports_1777.csv,AN F12 245,4,,,,,Stephen Jackson,,,,,,,,,,,,,
15,National toutes directions sans produits,1777,Langres,,"Allemagne, Lorraine et pais de Liege",Exports,,,,633245,,,,,sources/National toutes directions sans produits/AN_F12_245_and_246_Exports_1777.csv,AN F12 245,4,,,,,Stephen Jackson,,,,,,,,,,,,,
16,National toutes directions sans produits,1777,La Rochelle,,"Allemagne, Lorraine et pais de Liege",Exports,,,,120634,,,,,sources/National toutes directions sans produits/AN_F12_245_and_246_Exports_1777.csv,AN F12 245,4,,,,,Stephen Jackson,,,,,,,,,,,,,
17,National toutes directions sans produits,1777,Lyon,,"Allemagne, Lorraine et pais de Liege",Exports,,,,20886685,,,,,sources/National toutes directions sans produits/AN_F12_245_and_246_Exports_1777.csv,AN F12 245,4,,,,,Stephen Jackson,,,,,,,,,,,,,
18,National toutes directions sans produits,1777,Montpellier,,"Allemagne, Lorraine et pais de Liege",Exports,,,,1205053,,,,,sources/National toutes directions sans produits/AN_F12_245_and_246_Exports_1777.csv,AN F12 245,4,,,,,Stephen Jackson,,,,,,,,,,,,,
19,National toutes directions sans produits,1777,Paris,,"Allemagne, Lorraine et pais de Liege",Exports,,,,2924553,,,,,sources/National toutes directions sans produits/AN_F12_245_and_246_Exports_1777.csv,AN F12 245,4,,,,,Stephen Jackson,,,,,,,,,,,,,
20,National toutes directions sans produits,1777,Rennes,,"Allemagne, Lorraine et pais de Liege",Exports,,,,9472,,,,,sources/National toutes directions sans produits/AN_F12_245_and_246_Exports_1777.csv,AN F12 245,4,,,,,Stephen Jackson,,,,,,,,,,,,,
21,National toutes directions sans produits,1777,Roüen,,"Allemagne, Lorraine et pais de Liege",Exports,,,,817824,,,,,sources/National toutes directions sans produits/AN_F12_245_and_246_Exports_1777.csv,AN F12 245,4,,,,,Stephen Jackson,,,,,,,,,,,,,
22,National toutes directions sans produits,1777,Saint Quentin,,"Allemagne, Lorraine et pais de Liege",Exports,,,,842987,,,,,sources/National toutes directions sans produits/AN_F12_245_and_246_Exports_1777.csv,AN F12 245,4,,,,,Stephen Jackson,,,,,,,,,,,,,
34,National toutes directions sans produits,1777,Amiens,,Angleterre,Exports,,,,3251516,,,,,sources/National toutes directions sans produits/AN_F12_245_and_246_Exports_1777.csv,AN F12 245,6,,,,,Stephen Jackson,,,,,,,,,,,,,
35,National toutes directions sans produits,1777,Bayonne,,Angleterre,Exports,,,,137678,,,,,sources/National toutes directions sans produits/AN_F12_245_and_246_Exports_1777.csv,AN F12 245,6,,,,,Stephen Jackson,,,,,,,,,,,,,
36,National toutes directions sans produits,1777,Bordeaux,,Angleterre,Exports,,,,2813976,,,,,sources/National toutes directions sans produits/AN_F12_245_and_246_Exports_1777.csv,AN F12 245,6,,,,,Stephen Jackson,,,,,,,,,,,,,
37,National toutes directions sans produits,1777,Bourgogne,,Angleterre,Exports,,,,1080,,,,,sources/National toutes directions sans produits/AN_F12_245_and_246_Exports_1777.csv,AN F12 245,6,,,,,Stephen Jackson,,,,,,,,,,,,,
38,National toutes directions sans produits,1777,Caën,,Angleterre,Exports,,,,190197,,,,,sources/National toutes directions sans produits/AN_F12_245_and_246_Exports_1777.csv,AN F12 245,6,,,,,Stephen Jackson,,,,,,,,,,,,,
39,National toutes directions sans produits,1777,Châlons,,Angleterre,Exports,,,,423238,,,,,sources/National toutes directions sans produits/AN_F12_245_and_246_Exports_1777.csv,AN F12 245,6,,,,,Stephen Jackson,,,,,,,,,,,,,
40,National toutes directions sans produits,1777,Flandre,,Angleterre,Exports,,,,863532,,,,,sources/National toutes directions sans produits/AN_F12_245_and_246_Exports_1777.csv,AN F12 245,6,,,,,Stephen Jackson,,,,,,,,,,,,,
41,National toutes directions sans produits,1777,La Rochelle,,Angleterre,Exports,,,,88061,,,,,sources/National toutes directions sans produits/AN_F12_245_and_246_Exports_1777.csv,AN F12 245,6,,,,,Stephen Jackson,,,,,,,,,,,,,
42,National toutes directions sans produits,1777,Lyon,,Angleterre,Exports,,,,59085,,,,,sources/National toutes directions sans produits/AN_F12_245_and_246_Exports_1777.csv,AN F12 245,6,,,,,Stephen Jackson,,,,,,,,,,,,,
43,National toutes directions sans produits,1777,Marseille,,Angleterre,Exports,,,,389385,,,,,sources/National toutes directions sans produits/AN_F12_245_and_246_Exports_1777.csv,AN F12 245,6,,,,,Stephen Jackson,,,,,,,,,,,,,
