source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_unit,filepath,source,sheet,line_number,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,difference_value_unit_price,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
National toutes directions tous partenaires,1750,Bordeaux,,Guinée,Exports,Alibanis,,,15977,0,,pièces,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M84_partner_Guinee_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M84,238,,16877,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Bordeaux,,Guinée,Exports,Anabas,,,5010,0,,pièces,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M84_partner_Guinee_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M84,238,,110656.3,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Bordeaux,,Guinée,Exports,Anatose,,,2400,0,,pièces,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M84_partner_Guinee_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M84,238,,2400,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Bordeaux,,Guinée,Exports,Baffetas,,,880,0,,pièces,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M84_partner_Guinee_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M84,239,,1030,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Bordeaux,,Guinée,Exports,Bajutapeaux,,,23700,0,,pièces,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M84_partner_Guinee_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M84,239,,121468,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Bordeaux,,Guinée,Exports,Beuf ; salé,,,3300,0,,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M84_partner_Guinee_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M84,240,,37535.8,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Bordeaux,,Guinée,Exports,Beure,,,240,0,,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M84_partner_Guinee_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M84,240,,6149.1,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Bordeaux,,Guinée,Exports,Boulange,,,6840,0,,pièces,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M84_partner_Guinee_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M84,240,,6840,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Bordeaux,,Guinée,Exports,Braccles,,,12360,0,,pièces,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M84_partner_Guinee_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M84,240,,12360,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Bordeaux,,Guinée,Exports,Brandans,,,4512,0,,pièces,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M84_partner_Guinee_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M84,240,,4512,,,,Jérémy Hervelin,,,,,,,,,,,
