source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_unit,filepath,source,sheet,line_number,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,difference_value_unit_price,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
National toutes directions tous partenaires,1750,Amiens,,Suisse et Geneve,Exports,Argenterie,,,513,0,,marcs,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M85_partner_Suisse_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M85,6,,513,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Amiens,,Suisse et Geneve,Exports,Baracan,,,2505,0,,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M85_partner_Suisse_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M85,6,,6385,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Amiens,,Suisse et Geneve,Exports,Cheveaux,,,240,0,,en nombre,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M85_partner_Suisse_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M85,11,,3240,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Amiens,,Suisse et Geneve,Exports,Drap ; d'Amiens,,,280,0,,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M85_partner_Suisse_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M85,15,,92085,280,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Amiens,,Suisse et Geneve,Exports,Draperie ; petite,,,12495,0,,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M85_partner_Suisse_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M85,15,,644065,34495,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Amiens,,Suisse et Geneve,Exports,Etaim ; ouvré,,,34.1,0,,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M85_partner_Suisse_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M85,16,,34.1,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Amiens,,Suisse et Geneve,Exports,Etoffe : façonnée,,,3325,0,,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M85_partner_Suisse_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M85,16,,368521,3325,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Amiens,,Suisse et Geneve,Exports,Etoffe ; à peu de soye,,,53620,0,,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M85_partner_Suisse_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M85,16,,368521,59836,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Amiens,,Suisse et Geneve,Exports,Marchandises ; meslées,,,98,0,,,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M85_partner_Suisse_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M85,23,,37534.5,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Amiens,,Suisse et Geneve,Exports,Moquette,,,640,0,,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M85_partner_Suisse_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M85,24,,815,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Amiens,,Suisse et Geneve,Exports,Morüe,,,30,0,,barils,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M85_partner_Suisse_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M85,25,,6317.5,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Amiens,,Suisse et Geneve,Exports,Peluche,,,29250,0,,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M85_partner_Suisse_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M85,28,,29250,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Bordeaux,,Suisse et Geneve,Exports,Caffé ; des Isles,,,35858.7,0,,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M85_partner_Suisse_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M85,9,,255866.3,131645.5,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Bordeaux,,Suisse et Geneve,Exports,Chapeaux ; castor,,,135,0,,en nombre,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M85_partner_Suisse_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M85,10,,23573,1639,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Bordeaux,,Suisse et Geneve,Exports,Chapeaux ; castor,,,864,0,,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M85_partner_Suisse_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M85,10,,23573,1639,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Bordeaux,,Suisse et Geneve,Exports,Rocou,,,724,0,,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M85_partner_Suisse_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M85,32,,3853.2,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Bordeaux,,Suisse et Geneve,Exports,Sirop ; melasse,,,10,0,,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M85_partner_Suisse_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M85,33,,1609,1385,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Bordeaux,,Suisse et Geneve,Exports,Sucre ; blanc,,,4340.7,0,,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M85_partner_Suisse_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M85,34,,222266.1,7460.7,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Bordeaux,,Suisse et Geneve,Exports,Sucre ; rafiné,,,141767.2,0,,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M85_partner_Suisse_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M85,34,,222266.1,150070,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Bourgogne,,Suisse et Geneve,Exports,Agrémens ; de soye,,,42,0,,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M85_partner_Suisse_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M85,5,,42,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Bourgogne,,Suisse et Geneve,Exports,Alun,,,3278.4,0,,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M85_partner_Suisse_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M85,5,,3278.4,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Bourgogne,,Suisse et Geneve,Exports,Amidon,,,2089,0,,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M85_partner_Suisse_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M85,5,,2801,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Bourgogne,,Suisse et Geneve,Exports,Arbres ; à planter,,,70,0,,,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M85_partner_Suisse_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M85,6,,70,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Bourgogne,,Suisse et Geneve,Exports,Arcenic,,,640,0,,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M85_partner_Suisse_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M85,6,,640,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Bourgogne,,Suisse et Geneve,Exports,Baracan,,,2120,0,,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M85_partner_Suisse_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M85,6,,6385,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Bourgogne,,Suisse et Geneve,Exports,Bas ; de soye,,,5120,0,,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M85_partner_Suisse_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M85,7,,15379.5,14120,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions tous partenaires,1750,Bourgogne,,Suisse et Geneve,Exports,Beure,,,1063.2,0,,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M85_partner_Suisse_Exports_1750.csv,BM Saint-Brieuc Fonds Gournay - M85,7,,10101.3,,,,Jérémy Hervelin,,,,,,,,,,,
