line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
4625,National toutes directions tous partenaires,1750,La Rochelle,,Suede,Imports,Acier,,,5300,0,100,barils,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M87_partner_Suede_Imports_1750.csv,BM Saint-Brieuc Fonds Gournay - M87,144,,,,,Jérémy Hervelin,,,,,,,,,,,,
4626,National toutes directions tous partenaires,1750,Nantes,,Suede,Imports,Acier,,,20680,0,82720,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M87_partner_Suede_Imports_1750.csv,BM Saint-Brieuc Fonds Gournay - M87,144,,,,,Jérémy Hervelin,,,,,,,,,,,,
4627,National toutes directions tous partenaires,1750,Rennes,,Suede,Imports,Acier,,,28275,0,1131,barils,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M87_partner_Suede_Imports_1750.csv,BM Saint-Brieuc Fonds Gournay - M87,144,,,,,Jérémy Hervelin,,,,,,,,,,,,
4628,National toutes directions tous partenaires,1750,Rouen,,Suede,Imports,Acier,,,16534.5,0,55115,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M87_partner_Suede_Imports_1750.csv,BM Saint-Brieuc Fonds Gournay - M87,144,,,,,Jérémy Hervelin,,,,,,,,,,,,
4629,National toutes directions tous partenaires,1750,Bordeaux,,Suede,Imports,Alun,,,2035.5,0,13570,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M87_partner_Suede_Imports_1750.csv,BM Saint-Brieuc Fonds Gournay - M87,144,,,,,Jérémy Hervelin,,,,,,,,,,,,
4630,National toutes directions tous partenaires,1750,Nantes,,Suede,Imports,Alun,,,1800,0,9000,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M87_partner_Suede_Imports_1750.csv,BM Saint-Brieuc Fonds Gournay - M87,144,,,,,Jérémy Hervelin,,,,,,,,,,,,
4631,National toutes directions tous partenaires,1750,Rouen,,Suede,Imports,Alun,,,12333.4,0,61667,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M87_partner_Suede_Imports_1750.csv,BM Saint-Brieuc Fonds Gournay - M87,144,,,,,Jérémy Hervelin,,,,,,,,,,,,
4632,National toutes directions tous partenaires,1750,Rouen,,Suede,Imports,Alun,,,1080,0,18,barils,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M87_partner_Suede_Imports_1750.csv,BM Saint-Brieuc Fonds Gournay - M87,144,,,,,Jérémy Hervelin,,,,,,,,,,,,
4633,National toutes directions tous partenaires,1750,Bordeaux,,Suede,Imports,Amidon,,,1662.2,0,11081,livres,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M87_partner_Suede_Imports_1750.csv,BM Saint-Brieuc Fonds Gournay - M87,144,,,,,Jérémy Hervelin,,,,,,,,,,,,
4634,National toutes directions tous partenaires,1750,La Rochelle,,Suede,Imports,Anspects,,,30,0,120,en nombre,,sources/National toutes directions tous partenaires/BM_Saint-Brieuc_Fonds_Gournay_M87_partner_Suede_Imports_1750.csv,BM Saint-Brieuc Fonds Gournay - M87,144,,,,,Jérémy Hervelin,,,,,,,,,,,,
