dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,direction,pays,value,probleme,remarks
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1723-1724,National,1,1723,Imports,Marseille,Constantinople,"940 334,00","-940 334,00",9 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1723-1724,National,1,1723,Imports,Marseille,Smirne,"1 428 642,00","-1 428 642,00",13 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1723-1724,National,1,1723,Imports,Marseille,Alexandrette,"1 386 514,00","-1 386 514,00",9 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1723-1724,National,1,1723,Imports,Marseille,Seydes,"1 144 044,00","-1 144 044,00",16 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1723-1724,National,1,1723,Imports,Marseille,Tripoly de Syrie,"780 724,00","-780 724,00",4 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1723-1724,National,1,1723,Imports,Marseille,Chypres,"312 309,00","-312 309,00",1 batiment
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1723-1724,National,1,1723,Imports,Marseille,Egypte,"2 329 014,00","-2 329 014,00",14 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1723-1724,National,1,1723,Imports,Marseille,Salonique,"316 301,00","-316 301,00",6 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1723-1724,National,1,1723,Imports,Marseille,Archypel,"1 646 100,00","-1 646 100,00",62 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1723-1724,National,1,1723,Imports,Marseille,Morée,"446 881,00","-446 881,00",17 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1723-1724,National,1,1723,Imports,Marseille,Candie,"779 782,00","-779 782,00",21 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1723-1724,National,1,1723,Imports,Marseille,Barbarie,"502 223,00","-502 223,00",32 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1723-1724,National,2,1724,Imports,Marseille,Constantinople,"983 765,00","-983 765,00",8 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1723-1724,National,2,1724,Imports,Marseille,Smirne,"2 347 781,00","-2 347 781,00",12 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1723-1724,National,2,1724,Imports,Marseille,Alexandrette,"2 383 834,00","-2 383 834,00",9 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1723-1724,National,2,1724,Imports,Marseille,Seydes,"925 985,00","-925 985,00",16 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1723-1724,National,2,1724,Imports,Marseille,Tripoly de Syrie,"815 380,00","-815 380,00",2 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1723-1724,National,2,1724,Imports,Marseille,Chypres,"402 081,00","-402 081,00",1 batiment
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1723-1724,National,2,1724,Imports,Marseille,Egypte,"1 221 449,00","-1 221 449,00",18 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1723-1724,National,2,1724,Imports,Marseille,Salonique,"297 921,00","-297 921,00",16 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1723-1724,National,2,1724,Imports,Marseille,Archypel,"1 852 885,00","-1 852 885,00",122 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1723-1724,National,2,1724,Imports,Marseille,Morée,"249 482,00","-249 482,00",11 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1723-1724,National,2,1724,Imports,Marseille,Candie,"746 917,00","-746 917,00",18 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1723-1724,National,2,1724,Imports,Marseille,Barbarie,"625 892,00","-625 892,00",40 batiments
