numrodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,pays,marchandises,value
1,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Bestiaux,3463300
2,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Beurre,208700
3,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Blés,131900
4,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Chairs fraîches et salées,322300
5,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Chairs volailles et gibier,288200
6,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Farine et biscuit de mer,210000
7,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Farine pâtes et vermicelle,21600
8,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Fromage,37500
9,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Fruits frais,8200
10,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Fruits secs divers,84900
11,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Fruits secs amandes,8200
12,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Fruits à l'eau de vie,125300
13,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Fruits et légumes confits et marinés,40300
14,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Graisse,14300
15,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1820.csv,Résumé,1820,Exportations,Royaume d'Espagne et ses colonies,Huile d'olive fine,23800
