source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_unit,filepath,source,sheet,line_number,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,difference_value_unit_price,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
Objet Général,1769,,,Levant,Exports,Acier,,,1116,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,3,1,18080,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Suisse,Exports,Acier,,,1757,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,3,2,18080,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Isles,Exports,Acier,,,11594,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,3,3,18080,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Guinée,Exports,Acier,,,3613,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,3,4,18080,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Indes,Exports,Acons démonté,,,6000,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,3,5,6000,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Allemagne,Exports,Agneaux,,,1116,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,3,6,1116,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Flandre,Exports,Aiguilles,,,1987,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,3,7,1987,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Allemagne,Exports,Ajustements,,,20039,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,3,8,20039,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Espagne,Exports,Ajustements,,,0,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,3,9,20039,,,,Jérémy Hervelin,,La valeur est vraiment 0,,,,,,,,,
Objet Général,1769,,,Indes,Exports,Alambics,,,2258,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,3,10,2258,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Hollande,Exports,Alun,,,1373,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,3,11,49570,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Italie,Exports,Alun,,,13480,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,3,12,49570,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Naples,Exports,Alun,,,2595,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,4,13,49570,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Genes,Exports,Alun,,,3521,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,4,14,49570,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Levant,Exports,Alun,,,18951,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,4,15,49570,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Savoye,Exports,Alun,,,2987,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,4,16,49570,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Suisse,Exports,Alun,,,6663,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,4,17,49570,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Levant,Exports,Ambre,,,95850,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,4,18,95850,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Flandre,Exports,Amidon,,,50943,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,4,19,80474,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Italie,Exports,Amidon,,,5955,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,4,20,80474,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Genes,Exports,Amidon,,,2525,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,4,21,80474,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Portugal,Exports,Amidon,,,1470,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,4,22,80474,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Savoye,Exports,Amidon,,,1029,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,4,23,80474,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Isles,Exports,Amidon,,,18552,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,4,24,80474,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Hollande,Exports,Anchois,,,2311,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,4,25,7324,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Isles,Exports,Anchois,,,5013,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,4,26,7324,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Italie,Exports,Anis,,,3646,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,4,27,11064,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Genes,Exports,Anis,,,1535,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,4,28,11064,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Levant,Exports,Anis,,,2479,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,4,29,11064,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Savoye,Exports,Anis,,,3404,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,4,30,11064,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Flandre,Exports,Ardoises,,,8302,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,4,31,41227,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Isles,Exports,Ardoises,,,32925,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,4,32,41227,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Levant,Exports,Argent ; vif,,,20910,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,4,33,20910,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Allemagne,Exports,Argenterie,,,15033,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,4,34,317673,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Angleterre,Exports,Argenterie,,,1368,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,4,35,317673,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Danemark,Exports,Argenterie,,,1368,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,4,36,317673,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Espagne,Exports,Argenterie,,,53580,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,5,37,317673,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Flandre,Exports,Argenterie,,,10841,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,5,38,317673,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Hollande,Exports,Argenterie,,,15945,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,5,39,317673,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Indes,Exports,Argenterie,,,1500,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,5,40,317673,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Italie,Exports,Argenterie,,,21774,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,5,41,317673,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Naples,Exports,Argenterie,,,45600,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,5,42,317673,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Nord,Exports,Argenterie,,,16188,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,5,43,317673,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Portugal,Exports,Argenterie,,,12825,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,5,44,317673,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Russie,Exports,Argenterie,,,13134,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,5,45,317673,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Savoye,Exports,Argenterie,,,1710,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,5,46,317673,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Suede,Exports,Argenterie,,,34200,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,5,47,317673,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Suisse,Exports,Argenterie,,,11296,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,5,48,317673,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Isles,Exports,Argenterie,,,61311,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,5,49,317673,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Indes,Exports,Armes ; blanche,,,3200,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,5,50,504915,,21821,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Portugal,Exports,Armes ; blanche,,,1250,0,,,,sources/Objet Général/IIHS-122C_Exports_1769.csv,IIHS-122C,5,51,504915,,21821,,Jérémy Hervelin,,,,,,,,,,,
