source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_unit,filepath,source,sheet,line_number,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,difference_value_unit_price,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
Objet Général,1769,,,Allemagne,Imports,Acier,,,59159,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,3,1,794977,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Angleterre,Imports,Acier,,,23144,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,3,2,794977,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Danemark,Imports,Acier,,,364194,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,3,3,794977,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Flandre,Imports,Acier,,,4505,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,3,4,794977,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Hollande,Imports,Acier,,,194105,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,3,5,794977,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Italie,Imports,Acier,,,1190,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,3,6,794977,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Genes,Imports,Acier,,,2425,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,3,7,794977,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Venise,Imports,Acier,,,1802,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,3,8,794977,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Nord,Imports,Acier,,,9505,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,3,9,794977,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Suede,Imports,Acier,,,125358,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,3,10,794977,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Suisse,Imports,Acier,,,9390,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,3,11,794977,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Savoye,Imports,Agneaux,,,1151,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,3,12,1151,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Flandre,Imports,Aigre ; de vitriol,,,6000,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,3,13,6000,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Allemagne,Imports,Aiguilles,,,318976,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,3,14,342156,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Flandre,Imports,Aiguilles,,,20510,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,3,15,342156,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Hollande,Imports,Aiguilles,,,2670,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,3,16,342156,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Espagne,Imports,Ails,,,7537,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,3,17,9867,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Geneve,Imports,Ails,,,2330,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,3,18,9867,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Flandre,Imports,Aloes,,,1490,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,3,19,48024,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Hollande,Imports,Aloes,,,3534,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,3,20,48024,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Indes,Imports,Aloes,,,37500,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,3,21,48024,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Levant,Imports,Aloes,,,5500,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,3,22,48024,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Allemagne,Imports,Alun,,,12413,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,3,23,452408,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Angleterre,Imports,Alun,,,119765,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,3,24,452408,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Espagne,Imports,Alun,,,35609,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,4,25,452408,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Flandre,Imports,Alun,,,19110,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,4,26,452408,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Hollande,Imports,Alun,,,39708,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,4,27,452408,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Italie,Imports,Alun,,,70500,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,4,28,452408,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Naples,Imports,Alun,,,3600,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,4,29,452408,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Levant,Imports,Alun,,,128785,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,4,30,452408,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Nord,Imports,Alun,,,4746,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,4,31,452408,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Suede,Imports,Alun,,,18172,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,4,32,452408,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Allemagne,Imports,Amadou,,,14107,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,4,33,14017,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Hollande,Imports,Ambre,,,14270,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,4,34,14270,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Hollande,Imports,Amidon,,,249093,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,4,35,292520,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Nord,Imports,Amidon,,,49427,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,4,36,292520,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Espagne,Imports,Anchois,,,22498,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,4,37,22498,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Espagne,Imports,Anis,,,19802,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,4,38,90711,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Venise,Imports,Anis,,,1600,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,4,39,90711,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Levant,Imports,Anis,,,9308,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,4,40,90711,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Allemagne,Imports,Arcenic,,,1223,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,4,41,6332,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Hollande,Imports,Arcenic,,,3837,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,4,42,6332,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Nord,Imports,Arcenic,,,1272,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,4,43,6332,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Allemagne,Imports,Ardoises,,,8854,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,4,44,12599,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Flandre,Imports,Ardoises,,,3745,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,4,45,12599,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Nord,Imports,Argent ; en lingot,,,1500,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,4,46,1500,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Allemagne,Imports,Argent ; vif,,,79010,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,4,47,94890,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Hollande,Imports,Argent ; vif,,,9880,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,4,48,94890,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Genes,Imports,Argent ; vif,,,6000,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,4,49,94890,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Allemagne,Imports,Argenterie,,,14625,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,5,50,29825,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Angleterre,Imports,Argenterie,,,3500,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,5,51,29825,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Suisse,Imports,Argenterie,,,10080,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,5,52,29825,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Isles,Imports,Argenterie,,,1620,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,5,53,29825,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Allemagne,Imports,Armes ; blanches,,,79793,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,5,54,643343,92259,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Hollande,Imports,Armes ; blanches,,,12466,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,5,55,643343,92259,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Allemagne,Imports,Armes ; à feu,,,416375,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,5,56,643343,551084,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Hollande,Imports,Armes ; à feu,,,131085,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,5,57,643343,551084,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Nord,Imports,Armes ; à feu,,,3624,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,5,58,643343,551084,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Angleterre,Imports,Arquifou,,,38365,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,5,59,75382,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Espagne,Imports,Arquifou,,,6660,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,5,60,75382,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Hollande,Imports,Arquifou,,,15702,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,5,61,75382,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Savoye,Imports,Arquifou,,,14655,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,5,62,75382,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Hollande,Imports,Assafelida,,,12006,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,5,63,12006,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Allemagne,Imports,Attelles ; de coliers,,,3980,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,5,64,3980,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Danemark,Imports,Avirons,,,5948,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,5,65,17510,,,,Jérémy Hervelin,,,,,,,,,,,
Objet Général,1769,,,Espagne,Imports,Avirons,,,11562,0,,,,sources/Objet Général/IIHS-122C_Imports_1769.csv,IIHS-122C,5,66,17510,,,,Jérémy Hervelin,,,,,,,,,,,
