line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,Out,1827,,,,Exports,Acétates ; de plomb,,,184110,,108300,Kilo,1.7,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,285,184110,,,,Pierre Holegien,,,,,,,,,,,,
2,Out,1827,,,,Exports,Aloès,,,2521,,1146,Kilo,2.2,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,125,2521,,,,Pierre Holegien,,,,,,,,,,,,
3,Out,1827,,,,Exports,Baume ; Benjoin,,,5991,,1997,Kilo,3,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,121,5991,,,,Pierre Holegien,,,,,,,,,,,,
4,Out,1827,,,,Exports,Baume ; Copahu,,,12078,,6039,Kilo,2,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,123,12078,,,,Pierre Holegien,,,,,,,,,,,,
5,Out,1827,,,,Exports,Baume ; Storax liquide,,,1424,,963,Kilo,1.48,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,123,1424,,,,Pierre Holegien,,,,,,,,,,,,
6,Out,1827,,,,Exports,Camphre ; raffiné,,,17927,,2109,Kilo,8.5,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,125,17927,,,,Pierre Holegien,,,,,,,,,,,,
7,Out,1827,,,,Exports,Cantharides,,,36900,,3690,Kilo,10,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,57,36900,,,,Pierre Holegien,,,,,,,,,,,,
8,Out,1827,,,,Exports,Cornes de cerf et de snack ; en morceaux,,,415,,593,Kilo,.69999999,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,59,415,,,,Pierre Holegien,,,,,,,,,,,,
9,Out,1827,,,,Exports,Cornes de cerf et de snack ; en râpures,,,1286,,1837,Kilo,.69999999,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,59,1286,,,,Pierre Holegien,,,,,,,,,,,,
10,Out,1827,,,,Exports,Ecorces ; autres,,,3956,,4945,Kilo,.80000001,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,145,3956,,,,Pierre Holegien,,,,,,,,,,,,
11,Out,1827,,,,Exports,Ecorces ; de Quinquina,,,1609288,,201161,Kilo,8,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,145,1609288,,,,Pierre Holegien,,,,,,,,,,,,
12,Out,1827,,,,Exports,"Ecorces de citron, d'orange, et de leurs variétés",,,13700,,27400,Kilo,.5,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,143,13700,,,,Pierre Holegien,,,,,,,,,,,,
13,Out,1827,,,,Exports,Eponges ; communes,,,93222,,15537,Kilo,6,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,59,93222,,,,Pierre Holegien,,,,,,,,,,,,
14,Out,1827,,,,Exports,Eponges ; fines,,,55140,,2757,Kilo,20,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,59,55140,,,,Pierre Holegien,,,,,,,,,,,,
15,Out,1827,,,,Exports,Feuilles ; d'Oranger,,,451,,451,Kilo,1,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,147,451,,,,Pierre Holegien,,,,,,,,,,,,
16,Out,1827,,,,Exports,Feuilles ; de Séné,,,71046,,20299,Kilo,3.5,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,147,71046,,,,Pierre Holegien,,,,,,,,,,,,
17,Out,1827,,,,Exports,Feuilles non dénommées,,,21085,,21085,Kilo,1,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,149,21085,,,,Pierre Holegien,,,,,,,,,,,,
18,Out,1827,,,,Exports,Fleurs de Lavande et d'Oranger,,,69694,,34847,Kilo,2,sources/Out/Tableau_decennal_Exports_1827.csv,Tableau décennal,149,69694,,,,Pierre Holegien,,,,,,,,,,,,
