source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_unit,filepath,source,sheet,line_number,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,difference_value_unit_price,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
Out,1836,,,,Exports,Acétates ; de plomb,,,56904,,,Kilo,1.7,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,285,,56904,,,,Pierre Holegien,,,,,,,,,,,
Out,1836,,,,Exports,Aloès,,,16030,,,Kilo,2.2,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,125,,16030,,,,Pierre Holegien,,,,,,,,,,,
Out,1836,,,,Exports,Baume ; Benjoin,,,30801,,,Kilo,3,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,121,,30801,,,,Pierre Holegien,,,,,,,,,,,
Out,1836,,,,Exports,Baume ; Copahu,,,4608,,,Kilo,2,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,123,,4608,,,,Pierre Holegien,,,,,,,,,,,
Out,1836,,,,Exports,Baume ; Storax liquide,,,1534,,,Kilo,1.53,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,123,,1534,,,,Pierre Holegien,,,,,,,,,,,
Out,1836,,,,Exports,Camphre ; raffiné,,,16065,,,Kilo,8.5,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,125,,16065,,,,Pierre Holegien,,,,,,,,,,,
Out,1836,,,,Exports,Cantharides,,,77290,,,Kilo,10,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,57,,77290,,,,Pierre Holegien,,,,,,,,,,,
Out,1836,,,,Exports,Cornes de cerf et de snack ; en morceaux,,,1067,,,Kilo,0.7,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,59,,1067,,,,Pierre Holegien,,,,,,,,,,,
Out,1836,,,,Exports,Cornes de cerf et de snack ; en râpures,,,2580,,,Kilo,0.7,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,59,,2580,,,,Pierre Holegien,,,,,,,,,,,
Out,1836,,,,Exports,Ecorces ; autres,,,3762,,,Kilo,0.8,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,145,,3762,,,,Pierre Holegien,,,,,,,,,,,
Out,1836,,,,Exports,Ecorces ; de Quinquina,,,701904,,,Kilo,8,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,145,,701904,,,,Pierre Holegien,,,,,,,,,,,
Out,1836,,,,Exports,"Ecorces de citron, d'orange, et de leurs variétés",,,6612,,,Kilo,0.5,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,143,,6612,,,,Pierre Holegien,,,,,,,,,,,
Out,1836,,,,Exports,Eponges ; communes,,,56166,,,Kilo,6,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,59,,56166,,,,Pierre Holegien,,,,,,,,,,,
Out,1836,,,,Exports,Eponges ; fines,,,31460,,,Kilo,20,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,59,,31460,,,,Pierre Holegien,,,,,,,,,,,
Out,1836,,,,Exports,Feuilles ; d'Oranger,,,282,,,Kilo,1,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,147,,282,,,,Pierre Holegien,,,,,,,,,,,
Out,1836,,,,Exports,Feuilles ; de Séné,,,48489,,,Kilo,3.5,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,147,,48489,,,,Pierre Holegien,,,,,,,,,,,
Out,1836,,,,Exports,Feuilles non dénommées,,,10838,,,Kilo,1,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,149,,10838,,,,Pierre Holegien,,,,,,,,,,,
Out,1836,,,,Exports,Fleurs de Lavande et d'Oranger,,,109448,,,Kilo,2,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,149,,109448,,,,Pierre Holegien,,,,,,,,,,,
Out,1836,,,,Exports,Fleurs non dénommées,,,18758,,,Kilo,1,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,151,,18758,,,,Pierre Holegien,,,,,,,,,,,
Out,1836,,,,Exports,Fruits ; Autres,,,50674,,,Kilo,1,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,155,,50674,,,,Pierre Holegien,,,,,,,,,,,
Out,1836,,,,Exports,Fruits ; Badiane ou Anis étoilé de la Chine,,,8334,,,Kilo,2,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,153,,8334,,,,Pierre Holegien,,,,,,,,,,,
Out,1836,,,,Exports,Fruits ; Barbotine,,,245,,,Kilo,0.3,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,153,,245,,,,Pierre Holegien,,,,,,,,,,,
Out,1836,,,,Exports,Fruits ; Casse sans apprêt,,,94841,,,Kilo,1.5,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,151,,94841,,,,Pierre Holegien,,,,,,,,,,,
Out,1836,,,,Exports,Fruits ; Follicules de séné,,,3581,,,Kilo,2.8,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,155,,3581,,,,Pierre Holegien,,,,,,,,,,,
Out,1836,,,,Exports,Fruits ; Graine de moutarde,,,15617,,,Kilo,0.5,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,153,,15617,,,,Pierre Holegien,,,,,,,,,,,
Out,1836,,,,Exports,Fruits ; Tamarins en gousses,,,3775,,,Kilo,0.45,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,153,,3775,,,,Pierre Holegien,,,,,,,,,,,
Out,1836,,,,Exports,Herbes,,,1225,,,Kilo,0.5,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,147,,1225,,,,Pierre Holegien,,,,,,,,,,,
Out,1836,,,,Exports,Ipécacuana,,,33657,,,Kilo,13,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,137,,33657,,,,Pierre Holegien,,,,,,,,,,,
Out,1836,,,,Exports,Jus de réglisse,,,104235,,,Kilo,1,sources/Out/Tableau_decennal_Exports_1836.csv,Tableau décennal,129,,104235,,,,Pierre Holegien,,,,,,,,,,,
