numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,Droits totaux indiqués,Droits unitaires,remarks pour les droits
1,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,1,Eau de vie,Angleterre,711,Barriques,125,88875,0,,,,
2,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,1,Eau de vie,Angleterre,4314,Pots,"0,8",3451,"-0,2",erreur de calcul,,,
3,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,1,Vin de haut,Angleterre,"3,5",Tonneaux,400,1400,0,,,,
4,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,1,Vin de haut,Angleterre,"4,75",Tonneaux,300,1425,0,,,,
5,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,1,Vin de ville,Angleterre,84,Tonneaux,1300,109200,0,,,,
6,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,1,Vin de ville,Angleterre,"49,25",Tonneaux,1000,49250,0,,,,
7,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,1,Vin de ville,Angleterre,"86,25",Tonneaux,800,69000,0,,,,
8,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,1,Vin de ville,Angleterre,21,Tonneaux,600,12600,0,,,,
9,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,1,Vinaigre,Angleterre,2,Tonneaux,120,240,0,,,,
10,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,1,Caffé des Isles,Danemark,42534,Livres,"0,85","36153,9",0,,,,
11,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,1,Eau de vie,Danemark,3522,Barriques,125,440250,0,,,,
12,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,1,Indigo,Danemark,2377,Livres,8,19016,0,,,,
13,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,1,Pruneaux,Danemark,285900,Livres,"0,1",28590,0,,,,
14,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,1,Sucre blanc,Danemark,4578,Livres,"0,5",2289,0,,,,
15,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Sucre brut,Danemark,2333,Livres,"0,35","816,55",0,,,,
16,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Vin de haut,Danemark,"331,75",Tonneaux,150,"49762,5",0,,,,
17,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Vin de ville,Danemark,320,Tonneaux,600,192000,0,,,,
18,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Vin de ville,Danemark,216,Tonneaux,400,86400,0,,,,
19,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Vin de ville,Danemark,914,Tonneaux,300,274200,0,,,,
20,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Vin de ville,Danemark,3821,Tonneaux,200,764200,0,,,,
21,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Vinaigre,Danemark,"175,5",Tonneaux,120,21060,0,,,,
22,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Cacao,Espagne,3215,Livres,"0,5","1607,5",0,,,,
23,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Caffé des Isles,Espagne,1459,Livres,"0,85","1240,15",0,,,,
24,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Cuirs de bœuf en poil,Espagne,700,Cottes,6,4200,0,,,,
25,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Eau de vie,Espagne,813,Barriques,125,101625,0,,,,
26,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Farine,Espagne,6330,Boisseaux,15,94950,0,,,,
27,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Pruneaux,Espagne,107700,Livres,"0,1",10770,0,,,,
28,Demba,AD33 C4387,Local/Bordeaux/Bordeaux - Sorties - 1758.csv,Local,1758,Exports,Bordeaux,2,Sucre blanc,Espagne,282693,Livres,"0,5","141346,5",0,,,,
