item,group,status,beforeItems,afterItems,obsolete,imprimatur
zingar,[0],ambiguous,[Zinga] [Zingar],[Zinga] [Zingar],no,
zing,[0],ambiguous,[Zing],[Zing],no,
zinc pour fabriquer le laiton,[0],ambiguous,[Zinc pour fabriquer le laiton],[Zinc pour fabriquer le laiton],no,
zinc,[0],ambiguous,[Drogues ; chimiques et métalliques ; zinck] [Zin] [Zinc] [Zine] [zinek],[Drogues ; chimiques et métalliques ; zinck] [Zin] [Zinc] [Zine] [zinek],no,
zain,[0],ambiguous,[Zain],[Zain],no,
wuinnes,[0],ambiguous,[wuinnes],[wuinnes],no,
wollegoet teinte,[0],ambiguous,[wollegoet teinte],[wollegoet teinte],no,
wollegoet mêlée,[0],ambiguous,[wollegoet mellée],[wollegoet mellée],no,
wollegoet blanche,[0],ambiguous,[wollegoet blanche],[wollegoet blanche],no,
wathout en blocs,[0],ambiguous,[wathout en bloc],[wathout en bloc],no,
wagons,[0],ambiguous,[Wagons],[Wagons],no,
vulnéraire de Suisse,[0],ambiguous,[Vulneraires ; de Suisse] [Vulnéraires ; de Suisse],[Vulneraires ; de Suisse] [Vulnéraires ; de Suisse],no,
vrille,[0],ambiguous,[vrille] [vrilles] [Vrilles],[vrille] [vrilles] [Vrilles],no,
volants de camelot,[0],ambiguous,[Volants ; de camelot],[Volants ; de camelot],no,
volants,[0],ambiguous,[Volans] [Volants],[Volans] [Volants],no,
volailles oies,[0],ambiguous,[Volailles ; oyes],[Volailles ; oyes],no,
volailles grasses,[0],ambiguous,[Volailles ; grasses],[Volailles ; grasses],no,
volailles chapons,[0],ambiguous,[Volaille ; chapons] [Volaille chapon] [Volailles ; chapon] [Volailles ; chapons],[Volaille ; chapons] [Volaille chapon] [Volailles ; chapon] [Volailles ; chapons],no,
volailles,[0],ambiguous,[Volaille] [volailles] [Volailles] [Vollailles] [volaille de toutes sortes] [Volailles ; diverses],[Volaille] [volailles] [Volailles] [Vollailles] [volaille de toutes sortes] [Volailles ; diverses],no,
voitures neuves,[0],ambiguous,[voitures neuves],[voitures neuves],no,
voitures étrangères,[0],ambiguous,[///Industrie Etrangère///Voitures] [///Industrie étrangère///Voitures],[///Industrie Etrangère///Voitures] [///Industrie étrangère///Voitures],no,
voitures et leurs roues,[0],ambiguous,[Voitures et leurs roues],[Voitures et leurs roues],no,
voitures de chafre,[0],ambiguous,[Voiture ; de Chafre],[Voiture ; de Chafre],no,
voitures complètes,[0],ambiguous,[Voitures complètes],[Voitures complètes],no,
voitures carriole,[0],ambiguous,[Voiture (carriole)],[Voiture (carriole)],no,
voitures cabriolets,[0],ambiguous,[Voitures ; cabriolets],[Voitures ; cabriolets],no,
voitures avec hamais,[0],ambiguous,[Voitures ; avec hamoir],[Voitures ; avec hamoir],no,
voitures,[0],ambiguous,[Voiture] [Voitures] [Voitures ; diverses] [Voitures diverses],[Voiture] [Voitures] [Voitures ; diverses] [Voitures diverses],no,
voilures,[0],ambiguous,[Voilures],[Voilures],no,
voile du Maroc,[0],ambiguous,[Voile de Maroc],[Voile de Maroc],no,
voile de soie,[0],ambiguous,[Etoffe ; de soie ; voile] [Etoffe ; de soye ; voile] [Etoffe de soye ; voile],[Etoffe ; de soie ; voile] [Etoffe ; de soye ; voile] [Etoffe de soye ; voile],no,
voile de novice,[0],ambiguous,[Voiles de novice],[Voiles de novice],no,
voile de navire,[0],ambiguous,[Voilles ; de navires] [Voiles pour navires],[Voilles ; de navires] [Voiles pour navires],no,
voile de laine,[0],ambiguous,[Voile de laine],[Voile de laine],no,
voile de bateaux,[0],ambiguous,[Voilles ; de batteaux],[Voilles ; de batteaux],no,
voile,[0],ambiguous,[Étoffe voile] [Etoffes ; voile] [Voile] [voiles],[Étoffe voile] [Etoffes ; voile] [Voile] [voiles],no,
voide,[0],ambiguous,[Voide],[Voide],no,
voëdes,[0],ambiguous,[Voëdes],[Voëdes],no,
vlottes,[0],ambiguous,[vlottes],[vlottes],no,
vitriol de Chypre,[0],ambiguous,[Drogue ; pour peinture et teinture ; vitriol ; de Chypre] [Vitriel de Chipre] [Vitriol ; de chipre] [Vitriol ; de Chipre] [Vitriol ; de Chypre] [vitriol de Chipre] [Vitriol de chipre] [vitriol de chipres] [vitriol de Chipres] [vitriol de chypres] [Vitrol de chipre],[Drogue ; pour peinture et teinture ; vitriol ; de Chypre] [Vitriel de Chipre] [Vitriol ; de chipre] [Vitriol ; de Chipre] [Vitriol ; de Chypre] [vitriol de Chipre] [Vitriol de chipre] [vitriol de chipres] [vitriol de Chipres] [vitriol de chypres] [Vitrol de chipre],no,
vitriol bleu,[0],ambiguous,[Drogueries ; médecinales ; vitriol ; bleue] [Drogues ; chimiques et métalliques ; vitriol ; bleue] [Drogues; Pour peinture et teinture; Vitriol Bleu],[Drogueries ; médecinales ; vitriol ; bleue] [Drogues ; chimiques et métalliques ; vitriol ; bleue] [Drogues; Pour peinture et teinture; Vitriol Bleu],no,
vitriol blanc,[0],ambiguous,[Viteriol blanc] [Vitriol ; blanc] [Vitriol ;blanc] [Vitriol blanc],[Viteriol blanc] [Vitriol ; blanc] [Vitriol ;blanc] [Vitriol blanc],no,
